year,brand,model,mileage,cv,fuel_type,transmission,price
4,renault,clio,17000,5,0,0,47000
4,mercedes,classe cla,100000,8,0,1,134000
0,mercedes,gle coupe,15000,15,2,1,460000
9,audi,a6,160000,10,0,1,75000
9,mercedes,classe e,140000,10,1,1,118000
8,kia,rio,142700,5,0,1,43000
14,peugeot,partner tepee,315000,5,1,0,36200
4,gwm,poer mt,23500,11,1,1,94000
22,renault,scenic,200000,6,1,0,11000
8,toyota,nan,117000,5,0,0,42000
3,mercedes,eqa,50000,8,2,1,147000
5,kia,sportage,85000,8,0,1,86500
19,toyota,yaris,320000,6,0,1,27900
17,volkswagen,golf 5,287460,5,0,0,30000
7,suzuki,celerio,84000,4,0,0,32000
7,suzuki,vitara,265000,6,0,1,65000
7,hyundai,i 20,82000,5,0,0,42700
7,kia,picanto,79000,5,0,0,39800
8,peugeot,2008,110000,5,0,0,36000
7,ssangyong,tivoli,88700,8,0,1,58000
4,volkswagen,golf 8,71000,8,2,1,120000
13,kia,rio,208000,5,0,0,33000
4,citroen,c4,166000,6,1,0,45000
10,hyundai,grand i10,121000,5,0,0,35000
4,bmw,serie 1,43000,6,0,1,93000
5,bmw,serie 3,130000,10,0,1,129000
9,mercedes,classe b,190000,7,0,0,58000
9,kia,rio,169000,5,0,0,35500
4,mercedes,classe a,96000,7,0,1,98500
12,peugeot,308,140000,5,0,0,28000
4,mercedes,classe a,80000,8,2,1,129000
8,mercedes,classe c,105000,9,0,1,105000
9,peugeot,2008,161000,5,0,0,38000
10,fiat,punto,220000,4,0,0,22000
5,citroen,nan,100000,80,0,0,37000
11,renault,clio,200000,5,0,0,32000
17,volkswagen,polo,200000,5,0,0,25500
7,land,rover range rover sport,185000,14,1,1,167000
25,peugeot,106,200000,4,0,0,9800
11,land,rover range rover evoque,240000,11,1,1,75000
3,renault,clio,104000,5,0,0,38500
8,kia,sportage,30000,8,0,1,94000
17,peugeot,207,300000,6,0,0,19000
3,hyundai,i 20,120000,5,0,0,44000
22,mercedes,classe e,118400,9,1,0,55000
4,nissan,juke,112000,6,0,0,68500
10,volkswagen,golf 7,232000,6,0,1,48000
5,kia,rio,93000,5,0,0,52000
9,bmw,x5,226000,13,1,1,132000
5,mercedes,classe a,63000,7,0,1,139000
2,mercedes,glb,16000,8,1,1,188000
8,seat,leon,80000,6,0,0,50000
5,peugeot,rifter,145000,7,1,0,74000
8,bmw,x1,133000,7,0,1,72000
4,audi,e-tron,38000,12,2,1,180000
7,land,rover range rover sport,110000,16,1,1,190000
8,bmw,x5,105000,13,1,1,185000
6,kia,rio 5p,72000,5,0,0,54000
8,mercedes,classe g,44000,17,1,1,450000
10,mercedes,gla,97000,8,0,1,89000
2,gwm,haval h6,72000,8,0,1,115000
10,land,rover range rover sport,80000,43,0,1,265000
12,volkswagen,golf 7,108000,5,0,1,47000
4,audi,a5 sportback,96000,8,0,1,128000
3,suzuki,jimny 3 portes,88000,6,0,1,85000
10,audi,a5 sportback,140000,10,0,1,59000
2,toyota,rav 4,27000,9,2,1,146000
4,jeep,wrangler,51000,18,0,1,255000
0,renault,alpine a110,38000,5,2,1,80000
6,audi,q7,84000,15,1,1,230000
0,gwm,poer at,23000,7,1,1,120000
10,mercedes,classe e,152000,10,0,1,79000
8,mercedes,classe e,161000,9,0,1,117000
4,audi,q8,71000,23,2,1,350000
11,volkswagen,golf 7,146000,5,0,1,58000
2,toyota,corolla,61000,6,0,1,77000
3,hyundai,i 20,86000,5,0,0,54499
12,volkswagen,polo,128000,5,0,0,37000
4,jeep,renegade,85000,8,0,0,83000
3,hyundai,accent,68000,6,0,1,65000
3,hyundai,grand i10,79000,5,0,1,47000
4,chery,tiggo 2,64000,6,0,0,43800
11,bmw,serie 3,265000,7,0,1,57000
11,mahindra,scorpio pick-up dc,100000,8,1,0,10000
4,land,rover range rover sport,90000,25,0,1,320000
5,ds,7 crossback,79000,10,0,1,93000
6,peugeot,208,116000,4,0,0,27000
0,chery,arrizo 5,38254,7,0,1,79500
4,gwm,haval h6,96000,9,0,1,79000
3,hyundai,i20,93000,5,0,0,53000
4,renault,megane,188000,5,1,0,54000
4,hyundai,tucson,119000,8,0,1,77000
11,mercedes,classe c,164000,9,0,1,85000
4,mercedes,cla,65000,8,2,1,157000
8,audi,nan,139000,6,0,1,79500
5,seat,ibiza,145000,4,0,0,52000
6,fiat,500,96000,4,0,0,43500
14,bmw,serie 1,195000,7,0,0,73000
3,mercedes,classe cla,81000,8,2,1,141000
4,volkswagen,polo,67000,5,0,0,45000
3,renault,clio,150000,4,0,0,27000
8,citroen,nemo,248000,5,1,0,21000
7,audi,a3,104000,6,0,0,69000
3,ford,ecosport,26000,7,0,0,73000
4,fiat,panda,90000,4,0,0,36000
5,bmw,serie 5,52000,10,0,1,160000
13,mercedes,classe c,300000,9,0,1,69000
4,gwm,haval jolion,64000,9,0,1,73500
13,porsche,cayenne,195000,21,0,1,122000
10,toyota,rav 4,163000,9,0,1,66000
15,mercedes,classe s,165000,18,0,1,102000
2,mercedes,classe a,15000,8,2,1,169000
18,bmw,x5,270000,15,1,1,66000
6,bmw,serie 4 gran coupe,90000,7,0,1,117000
6,mercedes,classe c,147000,8,0,1,142200
6,bmw,serie 4 gran coupe,79000,7,0,1,105000
4,land,rover range rover evoque,110000,11,2,1,159000
9,land,rover range rover evoque,160000,10,1,1,102000
4,mercedes,cla,69000,8,2,1,140000
12,citroen,jumper,200000,7,1,0,15000
2,suzuki,celerio,33000,4,0,0,36500
2,ford,ecosport,42000,7,0,0,71000
4,nissan,micra,129000,5,0,0,29000
5,suzuki,swift,120000,5,0,0,28500
11,hyundai,i 20,150000,4,0,0,36500
9,citroen,nemo,220000,6,1,1,26000
4,peugeot,5008,152000,7,1,1,125900
4,bmw,serie 3,73400,9,0,1,134000
8,mg,e-zs,143000,9,0,1,43000
5,toyota,rav 4,157000,9,2,1,114000
4,mercedes,classe glc,66000,12,2,1,231000
4,mercedes,classe gle,65000,11,2,1,2000
8,mercedes,classe e,140000,10,1,1,118000
3,audi,a3,70000,6,0,1,92000
4,mercedes,classe cla,66000,8,2,1,144000
8,land,rover discovery sport,177000,8,1,1,105000
6,kia,sportage,95000,10,0,1,85000
4,citroen,c4,185000,7,1,1,68000
13,ssangyong,korando,280000,11,1,0,24000
2,renault,clio,40000,5,0,0,43000
12,volkswagen,beetle,175000,6,0,0,35000
4,land,rover range rover sport,41000,19,2,1,280000
4,volkswagen,t-roc,50000,6,0,0,102000
10,land,rover defender 110,103000,7,1,0,185000
